iter	Passed	Remaining
1539	58475	131379
1540	58480	131268
1541	58504	131198
1542	58522	131115
1543	58555	131068
1544	58606	131059
1545	58612	130949
1546	58617	130837
1547	58623	130727
1548	58631	130625
1549	58658	130561
1550	58695	130523
1551	58704	130420
1552	58759	130421
1553	58819	130433
1554	58829	130333
1555	58837	130229
1556	58887	130217
1557	58947	130228
1558	58989	130200
1559	59021	130151
1560	59075	130148
1561	59106	130095
1562	59119	130001
1563	59168	129989
1564	59229	130001
1565	59256	129939
1566	59278	129867
1567	59325	129849
1568	59363	129813
1569	59409	129793
1570	59447	129755
1571	59496	129742
1572	59528	129690
1573	59572	129666
1574	59595	129596
1575	59627	129546
1576	59673	129527
1577	59707	129479
1578	59738	129426
1579	59774	129385
1580	59859	129449
1581	59907	129434
1582	59990	129494
1583	60034	129467
1584	60065	129415
1585	60101	129373
1586	60123	129301
1587	60173	129290
1588	60280	129401
1589	60326	129380
1590	60340	129291
1591	60392	129283
1592	60433	129250
1593	60458	129185
1594	60502	129159
1595	60524	129088
1596	60547	129018
1597	60597	129007
1598	60652	129006
1599	60685	128956
1600	60726	128924
1601	60732	128819
1602	60762	128765
1603	60775	128674
1604	60781	128568
1605	60787	128463
1606	60815	128404
1607	60820	128297
1608	60848	128240
1609	60907	128245
1610	60955	128229
1611	61014	128236
1612	61021	128133
1613	61038	128051
1614	61105	128075
1615	61131	128012
1616	61181	128000
1617	61276	128082
1618	61357	128133
1619	61394	128094
1620	61439	128072
1621	61486	128052
1622	61492	127948
1623	61534	127918
1624	61555	127845
1625	61585	127791
1626	61594	127693
1627	61656	127706
1628	61710	127701
1629	61749	127665
1630	61781	127616
1631	61810	127559
1632	61858	127541
1633	61882	127476
1634	61913	127425
1635	61935	127354
1636	61943	127255
1637	61986	127226
1638	62014	127169
1639	62072	127173
1640	62103	127120
1641	62142	127085
1642	62148	126982
1643	62194	126961
1644	62225	126910
1645	62272	126890
1646	62376	126987
1647	62398	126917
1648	62455	126919
1649	62486	126867
1650	62513	126805
1651	62519	126705
1652	62544	126640
1653	62592	126623
1654	62637	126599
1655	62679	126569
1656	62683	126464
1657	62720	126424
1658	62759	126388
1659	62784	126324
1660	62800	126243
1661	62821	126172
